2017-07-01 09:09:30		0 监督
2017-07-01 09:09:30		0 再认证
2017-07-02 07:40:20		0 监督
2017-07-02 07:40:20		0 再认证
2017-07-03 08:53:17		0 监督
2017-07-03 08:53:17		0 再认证
2017-07-04 09:18:01		0 监督
2017-07-04 09:18:01		0 再认证
2017-07-05 09:12:35		0 监督
2017-07-05 09:12:35		0 再认证
2017-07-06 09:17:31		0 监督
2017-07-06 09:17:31		0 再认证
2017-07-07 08:48:09		0 监督
2017-07-07 08:48:09		0 再认证
2017-07-08 08:44:57		0 监督
2017-07-08 08:44:57		0 再认证
2017-07-09 15:16:20		1 监督
2017-07-09 15:16:20		0 再认证
2017-07-10 01:09:07		0 监督
2017-07-10 01:09:07		0 再认证
2017-07-11 06:55:40		0 监督
2017-07-11 06:55:40		0 再认证
2017-07-12 00:30:23		2 监督
2017-07-12 00:30:23		0 再认证
2017-07-13 06:32:42		0 监督
2017-07-13 06:32:42		0 再认证
2017-07-14 08:37:02		0 监督
2017-07-14 08:37:02		0 再认证
2017-07-15 05:48:53		0 监督
2017-07-15 05:48:53		0 再认证
2017-07-16 10:55:25		0 监督
2017-07-16 10:55:25		0 再认证
2017-07-17 08:52:08		3 监督
2017-07-17 08:52:08		0 再认证
2017-07-18 06:56:22		0 监督
2017-07-18 06:56:22		0 再认证
2017-07-19 01:20:46		0 监督
2017-07-19 01:20:46		0 再认证
2017-07-20 09:02:26		0 监督
2017-07-20 09:02:26		0 再认证
2017-07-21 07:09:44		0 监督
2017-07-21 07:09:44		0 再认证
2017-07-22 09:08:52		3 监督
2017-07-22 09:08:52		0 再认证
2017-07-23 04:12:37		0 监督
2017-07-23 04:12:37		0 再认证
2017-07-24 08:59:51		3 监督
2017-07-24 08:59:51		0 再认证
2017-07-25 08:59:16		0 监督
2017-07-25 08:59:16		0 再认证
2017-07-26 06:46:57		0 监督
2017-07-26 06:46:57		0 再认证
2017-07-27 04:06:46		0 监督
2017-07-27 04:06:46		0 再认证
2017-07-28 00:06:34		0 监督
2017-07-28 00:06:34		0 再认证
2017-07-29 00:30:00		0 监督
2017-07-29 00:30:00		0 再认证
2017-07-30 07:01:18		0 监督
2017-07-30 07:01:18		0 再认证
2017-07-31 08:57:57		0 监督
2017-07-31 08:57:57		0 再认证
